Wall time,Step,Value
1653498415.2158372,1588500,-8.432578086853027
1653498415.3565626,1589850,-6.134330749511719
1653498415.5436318,1591650,-6.840577602386475
1653498415.732743,1593450,-6.827057361602783
1653498415.8413835,1594350,-6.207699298858643
1653498416.1632597,1597500,-6.540857791900635
1653498416.2077117,1597950,-6.340489864349365
1653498416.630047,1602000,-5.2036027908325195
1653498416.8171475,1603800,-5.776344299316406
1653498417.0520394,1606050,-5.75588846206665
1653498417.2359743,1607850,-7.534229755401611
1653498417.2850394,1608300,-6.481500148773193
1653498417.332099,1608750,-7.363058567047119
1653498417.3796043,1609200,-7.334268093109131
1653498417.4260242,1609650,-9.176637649536133
1653498417.4740756,1610100,-8.192483901977539
1653498417.5202415,1610550,-8.062662124633789
1653498417.5654995,1611000,-6.370880603790283
1653498417.6128235,1611450,-6.575929641723633
1653498417.752889,1612800,-8.882107734680176
1653498417.7993343,1613250,-8.028170585632324
1653498418.034095,1615500,-7.423153400421143
1653498418.085107,1615950,-6.344793796539307
1653498418.1318612,1616400,-5.360357761383057
1653498418.2278569,1617300,-7.1030378341674805
1653498418.3655195,1618650,-7.0875420570373535
1653498418.5049615,1620000,-7.899069309234619
1653498418.552099,1620450,-6.487837314605713
1653498418.600519,1620900,-5.2220282554626465
1653498418.6467924,1621350,-6.516589641571045
1653498418.7410245,1622250,-7.736995220184326
1653498418.8365064,1623150,-6.834725856781006
1653498418.9830942,1624500,-7.383004188537598
1653498419.0298183,1624950,-8.232219696044922
1653498419.123026,1625850,-6.714177131652832
1653498419.1772788,1626300,-6.4526686668396
1653498419.3255062,1627650,-5.5218186378479
1653498419.4195054,1628550,-6.973536968231201
1653498419.5106614,1629450,-5.724057197570801
1653498419.5597548,1629900,-4.947199821472168
1653498419.7496603,1631700,-7.592103958129883
1653498419.796542,1632150,-6.240963459014893
1653498419.890316,1633050,-6.669805526733398
1653498419.9875057,1633950,-6.397947788238525
1653498420.0338995,1634400,-5.435068130493164
1653498420.0820532,1634850,-5.608205318450928
1653498420.282829,1636650,-5.948470115661621
